route_id,title
104,104 College Park Metro
105,105 Campus Connector
108,108 Adelphi
109,109 River Road
110,Seven Springs Express
111,111 Silver Spring
113,113 Hyattsville
114,114 University View
115,115 Orange
116,116 Purple
117,117 Blue
118,118 Gold
122,122 Green
123,123 Discovery District
124,Shady Grove
126,126 New Carrolton
127,127 Mazza GrandMarc
128,128 The Enclave
131,131 MGM/Enclave
132,132 The Varsity
133,133 Grocery Shopping Shuttle
140,140 UMB Law
141,141 Gaithersburg Park & Ride
142,142 Columbia Park & Ride
143,143 Greenbelt
bse,Bowie State - Enclave Express
